,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
5714,Lightning Returns: Final Fantasy XIII,X360,Misc,Square Enix,Unknown,6.4,0.27,0.15,0.01,0.08,0.02,2014-02-11
5742,Pac-Pix,DS,Puzzle,Namco,Namco,6.8,0.27,0.16,0.1,0.0,0.01,2005-04-26
5764,Shadows of the Damned,PS3,Action,Electronic Arts,Grasshopper Manufacture,7.9,0.27,0.11,0.04,0.09,0.03,2011-06-21
5790,R.U.S.E.,X360,Strategy,Ubisoft,Eugen Systems,8.0,0.27,0.12,0.0,0.11,0.02,2010-09-07
5815,The World Ends with You: Final Remix,NS,Role-Playing,Nintendo,Square Enix,7.4,0.27,0.14,0.03,0.08,0.02,2018-10-12
5819,Suikoden Tierkreis,DS,Role-Playing,Konami,Konami,7.7,0.27,0.09,0.15,0.02,0.01,2009-03-17
5821,Etrian Odyssey V: Beyond the Myth,3DS,Role-Playing,Atlus,Atlus,7.9,0.27,0.11,0.14,0.01,0.01,2017-10-17
5933,Etrian Odyssey: Millennium Girl,3DS,Role-Playing,Atlus,Atlus,8.1,0.26,0.1,0.14,0.01,0.01,2013-10-01
5935,King's Field II,PS,Role-Playing,ASCII Entertainment,From Software,7.3,0.26,0.08,0.11,0.06,0.02,1996-10-31
5938,Stella Glow,3DS,Role-Playing,Atlus,imageepoch Inc.,7.5,0.26,0.17,0.06,0.01,0.02,2015-11-17
5941,Armored Core: Master of Arena,PS,Simulation,Agetec,From Software,7.2,0.26,0.07,0.13,0.05,0.02,2000-02-29
5962,Bust A Groove 2,PS,Misc,Enix,Metro,7.0,0.26,0.04,0.18,0.03,0.02,1999-03-31
5963,Metroid Prime Pinball,DS,Misc,Nintendo,Fuse Games Limited,7.6,0.26,0.22,0.02,0.0,0.02,2005-10-24
5971,Castlevania: Harmony of Dissonance,GBA,Platform,Konami,Konami Computer Entertainment Tokyo,8.6,0.26,0.16,0.04,0.06,0.0,2002-09-16
5978,Polarium,DS,Puzzle,Nintendo,Mitchell,7.6,0.26,0.13,0.11,0.01,0.01,2005-04-18
5982,Resident Evil: Revelations,X360,Shooter,Capcom,Capcom,7.4,0.26,0.12,0.02,0.1,0.02,2013-05-21
5987,Panzer Dragoon Orta,XB,Shooter,Sega,Smilebit,8.8,0.26,0.16,0.04,0.05,0.01,2003-01-12
6006,Resident Evil: Deadly Silence,DS,Action,Capcom,Capcom,6.7,0.26,0.11,0.11,0.02,0.01,2006-02-07
6009,Deadly Premonition,X360,Action,Ignition Entertainment,Access Games,6.0,0.26,0.18,0.0,0.06,0.02,2010-02-23
6018,Sonic Boom: Fire & Ice,3DS,Platform,Sega,Sanzaru Games,6.9,0.25,0.14,0.02,0.08,0.02,2016-09-27
6025,Ace Combat: Assault Horizon Legacy,3DS,Simulation,Namco Bandai,Namco Bandai Games,7.0,0.25,0.1,0.08,0.06,0.01,2011-11-15
6034,Armored Core 4,X360,Simulation,Sega,From Software,6.5,0.25,0.19,0.03,0.01,0.02,2007-03-20
6061,Bomberman Tournament,GBA,Puzzle,Activision,Hudson Soft,8.8,0.25,0.1,0.1,0.04,0.01,2001-06-26
6076,Dead or Alive Xtreme 2,X360,Sports,Tecmo,Team Ninja,5.3,0.25,0.15,0.06,0.02,0.02,2006-11-13
6097,Spirit Camera: The Cursed Memoir,3DS,Action-Adventure,Nintendo,Tecmo Koei Games,5.7,0.25,0.15,0.06,0.02,0.02,2012-04-13
6102,Hunted: The Demon's Forge,PS3,Role-Playing,Bethesda Softworks,InXile Entertainment,6.1,0.25,0.12,0.02,0.09,0.03,2011-05-31
6106,Disgaea 2: Dark Hero Days,PSP,Role-Playing,NIS America,Nippon Ichi Software,8.1,0.25,0.1,0.12,0.01,0.02,2009-09-08
6107,Hybrid Heaven,N64,Role-Playing,Konami,KCEO,7.0,0.25,0.16,0.05,0.04,0.0,1999-09-01
6128,Bomberman Generation,GC,Adventure,Majesco,Game Arts,8.4,0.25,0.15,0.06,0.04,0.01,2002-06-03
6148,Final Fantasy Crystal Chronicles: Echoes of Time,Wii,Role-Playing,Square Enix,Square Enix,6.9,0.25,0.13,0.05,0.06,0.02,2009-03-24
6162,Game & Wario,WiiU,Party,Nintendo,Intelligent Systems,6.2,0.25,0.06,0.12,0.06,0.01,2013-06-23
6171,Sid Meier's Civilization VI,NS,Strategy,2K Games,Firaxis Games,9.4,0.25,0.12,0.01,0.11,0.02,2018-11-16
6221,Ar tonelico Qoga: Knell of Ar Ciel,PS3,Role-Playing,NIS America,Gust,7.0,0.24,0.08,0.13,0.01,0.01,2011-03-15
6256,Disney Epic Mickey 2: The Power of Two,WiiU,Platform,Disney Interactive Studios,Junction Point Studios,5.9,0.24,0.13,0.01,0.08,0.02,2012-11-18
6258,Dynasty Warriors 6 Empires,X360,Action,KOEI,Omega Force,6.3,0.24,0.16,0.04,0.02,0.02,2009-06-23
6275,Singularity,PS3,Shooter,Activision,Raven Software,7.8,0.24,0.17,0.01,0.03,0.03,2010-06-29
6276,Resident Evil Archives: Resident Evil Zero,Wii,Action,Capcom,Capcom Production Studio 4,5.8,0.24,0.13,0.06,0.04,0.01,2009-12-01
6287,7th Dragon III Code: VFD,3DS,Role-Playing,Sega,Sega,7.5,0.24,0.06,0.13,0.04,0.01,2016-07-12
6288,Disgaea: Afternoon of Darkness,PSP,Role-Playing,NIS America,Nippon Ichi Software,8.7,0.24,0.15,0.04,0.02,0.02,2007-10-30
6298,Virtua Tennis 4,X360,Sports,Sega,Sega-AM2,6.5,0.24,0.12,0.01,0.09,0.02,2011-05-10
